std_type;nominal_width_mm;outer_diameter_mm;inner_diameter_mm;standard_dimension_ratio;standard_dimension_ratio_rounded;default_setting_mass_flow_kg_s
20_PE_100_SDR_11;20;20;16.2;10.53;11;4.892942959947335e-05
25_PE_100_SDR_11;25;25;20.4;10.87;11;0.0001230155661306
32_PE_100_SDR_11;32;32;26.2;11.03;11;0.0003345752448688
32_PE_100_SDR_17;32;32;28.0;16.0;17;0.0004363747171765
40_PE_100_SDR_11;40;40;32.6;10.81;11;0.0008015054875763
40_PE_100_SDR_17;40;40;35.2;16.66;17;0.0010891169986538
50_PE_100_SDR_11;50;50;40.8;10.87;11;0.0019642402350632
50_PE_100_SDR_17;50;50;44.0;16.67;17;0.0026553483690546
63_PE_100_SDR_11;63;63;51.4;10.86;11;0.0049370606806862
63_PE_100_SDR_17;63;63;55.4;16.58;17;0.0066557401227502
75_PE_100_SDR_11;75;75;61.4;11.03;11;0.0100236158981041
75_PE_100_SDR_17;75;75;66.0;16.67;17;0.0133600050735638
90_PE_100_SDR_11;90;90;73.6;10.98;11;0.020594274877046
90_PE_100_SDR_17;90;90;79.2;16.67;17;0.027538150747534
110_PE_100_SDR_11;110;110;90.0;11.0;11;0.0456299108525403
110_PE_100_SDR_17;110;110;96.8;16.67;17;0.0607768839278984
125_PE_100_SDR_11;125;125;102.2;10.96;11;0.0752044712706321
125_PE_100_SDR_17;125;125;110.2;16.89;17;0.1009752562856162
140_PE_100_SDR_11;140;140;114.6;11.02;11;0.1176129621098062
140_PE_100_SDR_17;140;140;123.4;16.87;17;0.1567171752330081
160_PE_100_SDR_11;160;160;130.8;10.96;11;0.1962072162682556
160_PE_100_SDR_17;160;160;141.0;16.84;17;0.2616724134115613
180_PE_100_SDR_11;180;180;147.2;10.98;11;0.308293380525112
180_PE_100_SDR_17;180;180;158.6;16.82;17;0.4088079677452802
200_PE_100_SDR_11;200;200;163.6;10.99;11;0.4593685985040579
200_PE_100_SDR_17;200;200;176.2;16.81;17;0.6057456629821097
225_PE_100_SDR_11;225;225;184.0;10.98;11;0.7108505953317028
225_PE_100_SDR_17;225;225;198.2;16.79;17;0.9329115894802898
250_PE_100_SDR_11;250;250;204.6;11.01;11;1.0467080068276884
250_PE_100_SDR_17;250;250;220.4;16.89;17;1.3665495869826805
280_PE_100_SDR_11;280;280;229.2;11.02;11;1.5699063670029465
280_PE_100_SDR_17;280;280;246.8;16.87;17;2.0340597688465163
315_PE_100_SDR_11;315;315;257.8;11.01;11;2.364911629582783
315_PE_100_SDR_17;315;315;277.6;16.84;17;3.043825891200987
355_PE_100_SDR_11;355;355;290.6;11.02;11;3.550467560658652
355_PE_100_SDR_17;355;355;312.8;16.82;17;4.532827921894524
400_PE_100_SDR_11;400;400;327.4;11.02;11;5.262711695408326
400_PE_100_SDR_17;400;400;352.6;16.88;17;6.686147534479258
450_PE_100_SDR_11;450;450;368.0;10.98;11;7.6617979515269905
450_PE_100_SDR_17;450;450;396.6;16.85;17;9.695637371360329
500_PE_100_SDR_11;500;500;409.2;11.01;11;10.68613000584253
500_PE_100_SDR_17;500;500;440.6;16.84;17;13.415490258758712
560_PE_100_SDR_11;560;560;458.4;11.02;11;15.133125377781283
560_PE_100_SDR_17;560;560;493.6;16.87;17;18.90684762158705
630_PE_100_SDR_11;630;630;515.6;11.01;11;21.527879998072702
630_PE_100_SDR_17;630;630;555.2;16.84;17;26.77418931166942
710_PE_100_SDR_11;710;710;581.0;11.01;11;30.56969539900304
710_PE_100_SDR_17;710;710;625.8;16.86;17;37.895230629822805
800_PE_100_SDR_11;800;800;654.8;11.02;11;43.15072438083694
800_PE_100_SDR_17;800;800;705.2;16.88;17;53.28140060960106
900_PE_100_SDR_11;900;900;736.6;11.02;11;60.25339237905494
900_PE_100_SDR_17;900;900;793.4;16.89;17;74.20192769570673
